TestID,Platform,GPU,Case,B,M,N,K,Dtype,Check,Forward Time (ms),Forward TFLOPS,Backward Time (ms),Backward TFLOPS
106,ROCm,MI300X,DeepSeek-V2-Lite-Down,8,8192,2048,1408,bf16,PASS,0.80,472.93,2.08,364.07
107,ROCm,MI300X,DeepSeek-V2-Lite-GateUP,8,16384,2816,2048,bf16,PASS,3.02,500.42,7.87,384.35
108,ROCm,MI300X,DeepSeek-V2-Lite-Down,8,16384,2048,1408,bf16,PASS,1.58,478.84,4.16,363.33
109,ROCm,MI300X,Grok-2-GateUP,1,512,32768,8192,bf16,PASS,0.58,475.13,1.65,333.39
110,ROCm,MI300X,Grok-2-Down,1,512,8192,16384,bf16,PASS,0.33,420.55,0.83,332.62
111,ROCm,MI300X,Grok-2-GateUP,1,1024,32768,8192,bf16,PASS,1.03,533.08,2.55,430.92
112,ROCm,MI300X,Grok-2-Down,1,1024,8192,16384,bf16,PASS,0.54,510.41,1.27,434.14
113,ROCm,MI300X,Grok-2-GateUP,1,2048,32768,8192,bf16,PASS,1.96,561.19,4.19,525.11
114,ROCm,MI300X,Grok-2-Down,1,2048,8192,16384,bf16,PASS,1.01,543.03,2.18,503.46
115,ROCm,MI300X,Grok-2-GateUP,1,4096,32768,8192,bf16,PASS,3.70,594.68,7.79,564.84
116,ROCm,MI300X,Grok-2-Down,1,4096,8192,16384,bf16,PASS,1.92,572.04,4.02,546.38
117,ROCm,MI300X,Grok-2-GateUP,1,8192,32768,8192,bf16,PASS,7.80,563.87,14.81,594.11
118,ROCm,MI300X,Grok-2-Down,1,8192,8192,16384,bf16,PASS,3.80,579.15,7.69,572.07
119,ROCm,MI300X,Grok-2-GateUP,1,16384,32768,8192,bf16,PASS,15.69,560.68,29.98,586.81
120,ROCm,MI300X,Grok-2-Down,1,16384,8192,16384,bf16,PASS,7.80,564.00,15.50,567.49
121,ROCm,MI300X,Qwen3-30B-A3B-GateUP,4,512,4096,2048,bf16,PASS,0.12,298.74,0.38,182.15
122,ROCm,MI300X,Qwen3-30B-A3B-Down,4,512,2048,2048,bf16,PASS,0.11,154.09,0.34,101.26
123,ROCm,MI300X,Qwen3-30B-A3B-GateUP,4,1024,4096,2048,bf16,PASS,0.16,443.00,0.50,275.39
124,ROCm,MI300X,Qwen3-30B-A3B-Down,4,1024,2048,2048,bf16,PASS,0.12,293.31,0.34,203.61
125,ROCm,MI300X,Qwen3-30B-A3B-GateUP,4,2048,4096,2048,bf16,PASS,0.30,463.76,0.72,379.77
126,ROCm,MI300X,Qwen3-30B-A3B-Down,4,2048,2048,2048,bf16,PASS,0.15,462.97,0.39,349.27
127,ROCm,MI300X,Qwen3-30B-A3B-GateUP,4,4096,4096,2048,bf16,PASS,0.57,483.73,1.34,408.79
128,ROCm,MI300X,Qwen3-30B-A3B-Down,4,4096,2048,2048,bf16,PASS,0.29,475.06,0.73,375.21
129,ROCm,MI300X,Qwen3-30B-A3B-GateUP,4,8192,4096,2048,bf16,PASS,1.09,505.81,2.60,422.77
130,ROCm,MI300X,Qwen3-30B-A3B-Down,4,8192,2048,2048,bf16,PASS,0.58,475.86,1.40,391.52
131,ROCm,MI300X,Qwen3-30B-A3B-GateUP,4,16384,4096,2048,bf16,PASS,2.19,502.57,5.13,428.87
132,ROCm,MI300X,Qwen3-30B-A3B-Down,4,16384,2048,2048,bf16,PASS,1.11,497.13,2.65,414.93
133,ROCm,MI300X,Qwen3-30B-A3B-GateUP,8,512,4096,2048,bf16,PASS,0.16,418.24,0.59,232.48
134,ROCm,MI300X,Qwen3-30B-A3B-Down,8,512,2048,2048,bf16,PASS,0.12,296.51,0.32,213.69
135,ROCm,MI300X,Qwen3-30B-A3B-GateUP,8,1024,4096,2048,bf16,PASS,0.31,448.15,0.86,318.11
136,ROCm,MI300X,Qwen3-30B-A3B-Down,8,1024,2048,2048,bf16,PASS,0.16,420.13,0.45,304.96
137,ROCm,MI300X,Qwen3-30B-A3B-GateUP,8,2048,4096,2048,bf16,PASS,0.59,462.47,1.46,375.99
138,ROCm,MI300X,Qwen3-30B-A3B-Down,8,2048,2048,2048,bf16,PASS,0.30,453.71,0.79,346.93
139,ROCm,MI300X,Qwen3-30B-A3B-GateUP,8,4096,4096,2048,bf16,PASS,1.09,502.29,2.71,406.08
140,ROCm,MI300X,Qwen3-30B-A3B-Down,8,4096,2048,2048,bf16,PASS,0.59,464.67,1.47,373.63
141,ROCm,MI300X,Qwen3-30B-A3B-GateUP,8,8192,4096,2048,bf16,PASS,2.19,502.15,5.22,420.98
142,ROCm,MI300X,Qwen3-30B-A3B-Down,8,8192,2048,2048,bf16,PASS,1.12,490.63,2.72,404.15
143,ROCm,MI300X,Qwen3-30B-A3B-GateUP,8,16384,4096,2048,bf16,PASS,4.35,505.67,10.50,419.05
144,ROCm,MI300X,Qwen3-30B-A3B-Down,8,16384,2048,2048,bf16,PASS,2.23,492.18,5.51,398.93
145,ROCm,MI300X,Qwen3-30B-A3B-GateUP,16,512,4096,2048,bf16,PASS,0.33,412.25,1.04,263.51
146,ROCm,MI300X,Qwen3-30B-A3B-Down,16,512,2048,2048,bf16,PASS,0.17,405.30,0.56,246.56
147,ROCm,MI300X,Qwen3-30B-A3B-GateUP,16,1024,4096,2048,bf16,PASS,0.62,446.60,1.66,331.33
148,ROCm,MI300X,Qwen3-30B-A3B-Down,16,1024,2048,2048,bf16,PASS,0.33,414.45,0.93,296.81
149,ROCm,MI300X,Qwen3-30B-A3B-GateUP,16,2048,4096,2048,bf16,PASS,1.14,484.21,2.83,389.11
150,ROCm,MI300X,Qwen3-30B-A3B-Down,16,2048,2048,2048,bf16,PASS,0.63,438.99,1.59,346.67
151,ROCm,MI300X,Qwen3-30B-A3B-GateUP,16,4096,4096,2048,bf16,PASS,2.22,494.59,5.14,427.74
152,ROCm,MI300X,Qwen3-30B-A3B-Down,16,4096,2048,2048,bf16,PASS,1.14,480.52,2.83,388.89
153,ROCm,MI300X,Qwen3-30B-A3B-GateUP,16,8192,4096,2048,bf16,PASS,4.35,505.50,10.03,438.30
154,ROCm,MI300X,Qwen3-30B-A3B-Down,16,8192,2048,2048,bf16,PASS,2.24,491.54,5.65,389.55
155,ROCm,MI300X,Qwen3-30B-A3B-GateUP,16,16384,4096,2048,bf16,PASS,8.79,500.56,20.06,438.54
156,ROCm,MI300X,Qwen3-30B-A3B-Down,16,16384,2048,2048,bf16,PASS,4.45,494.11,11.36,387.20
157,ROCm,MI300X,Qwen3-235B-A22B-GateUP,4,512,8192,4096,bf16,PASS,0.32,434.24,1.14,240.11
158,ROCm,MI300X,Qwen3-235B-A22B-Down,4,512,4096,4096,bf16,PASS,0.21,334.25,0.58,236.16
159,ROCm,MI300X,Qwen3-235B-A22B-GateUP,4,1024,8192,4096,bf16,PASS,0.58,474.74,1.55,354.63
160,ROCm,MI300X,Qwen3-235B-A22B-Down,4,1024,4096,4096,bf16,PASS,0.28,497.76,0.87,316.89
161,ROCm,MI300X,Qwen3-235B-A22B-GateUP,4,2048,8192,4096,bf16,PASS,1.11,495.49,2.68,410.00
162,ROCm,MI300X,Qwen3-235B-A22B-Down,4,2048,4096,4096,bf16,PASS,0.54,506.37,1.47,373.88
163,ROCm,MI300X,Qwen3-235B-A22B-GateUP,4,4096,8192,4096,bf16,PASS,2.08,527.38,5.01,438.60
164,ROCm,MI300X,Qwen3-235B-A22B-Down,4,4096,4096,4096,bf16,PASS,1.10,501.25,2.69,409.45
165,ROCm,MI300X,Qwen3-235B-A22B-GateUP,4,8192,8192,4096,bf16,PASS,4.17,527.51,9.57,459.68
166,ROCm,MI300X,Qwen3-235B-A22B-Down,4,8192,4096,4096,bf16,PASS,2.08,527.42,5.17,424.97
167,ROCm,MI300X,Qwen3-235B-A22B-GateUP,4,16384,8192,4096,bf16,PASS,8.25,533.00,19.08,461.08
168,ROCm,MI300X,Qwen3-235B-A22B-Down,4,16384,4096,4096,bf16,PASS,4.21,522.05,10.37,424.24
169,ROCm,MI300X,Qwen3-235B-A22B-GateUP,8,512,8192,4096,bf16,PASS,0.62,445.34,1.97,279.11
170,ROCm,MI300X,Qwen3-235B-A22B-Down,8,512,4096,4096,bf16,PASS,0.32,430.95,1.03,266.03
171,ROCm,MI300X,Qwen3-235B-A22B-GateUP,8,1024,8192,4096,bf16,PASS,1.16,475.64,3.14,350.29
172,ROCm,MI300X,Qwen3-235B-A22B-Down,8,1024,4096,4096,bf16,PASS,0.59,469.05,1.62,339.32
173,ROCm,MI300X,Qwen3-235B-A22B-GateUP,8,2048,8192,4096,bf16,PASS,2.13,516.95,5.48,401.14
174,ROCm,MI300X,Qwen3-235B-A22B-Down,8,2048,4096,4096,bf16,PASS,1.13,487.95,2.79,393.45
175,ROCm,MI300X,Qwen3-235B-A22B-GateUP,8,4096,8192,4096,bf16,PASS,4.20,523.42,10.03,438.66
176,ROCm,MI300X,Qwen3-235B-A22B-Down,8,4096,4096,4096,bf16,PASS,2.11,521.70,5.09,432.27
177,ROCm,MI300X,Qwen3-235B-A22B-GateUP,8,8192,8192,4096,bf16,PASS,8.31,529.53,19.93,441.33
178,ROCm,MI300X,Qwen3-235B-A22B-Down,8,8192,4096,4096,bf16,PASS,4.21,521.92,10.01,439.49
179,ROCm,MI300X,Qwen3-235B-A22B-GateUP,8,16384,8192,4096,bf16,PASS,16.64,528.75,39.23,448.40
